,Postal Code,Borough,Neighbourhood
3,M3A,North York,Parkwoods
4,M4A,North York,Victoria Village
5,M5A,Downtown Toronto,"Regent Park, Harbourfront"
6,M6A,North York,"Lawrence Manor, Lawrence Heights"
7,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
9,M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
10,M1B,Scarborough,"Malvern, Rouge"
12,M3B,North York,Don Mills
13,M4B,East York,"Parkview Hill, Woodbine Gardens"
14,M5B,Downtown Toronto,"Garden District, Ryerson"
15,M6B,North York,Glencairn
18,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
19,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
21,M3C,North York,Don Mills
22,M4C,East York,Woodbine Heights
23,M5C,Downtown Toronto,St. James Town
24,M6C,York,Humewood-Cedarvale
27,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
28,M1E,Scarborough,"Guildwood, Morningside, West Hill"
31,M4E,East Toronto,The Beaches
32,M5E,Downtown Toronto,Berczy Park
33,M6E,York,Caledonia-Fairbanks
37,M1G,Scarborough,Woburn
40,M4G,East York,Leaside
41,M5G,Downtown Toronto,Central Bay Street
42,M6G,Downtown Toronto,Christie
46,M1H,Scarborough,Cedarbrae
47,M2H,North York,Hillcrest Village
48,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
49,M4H,East York,Thorncliffe Park
50,M5H,Downtown Toronto,"Richmond, Adelaide, King"
51,M6H,West Toronto,"Dufferin, Dovercourt Village"
55,M1J,Scarborough,Scarborough Village
56,M2J,North York,"Fairview, Henry Farm, Oriole"
57,M3J,North York,"Northwood Park, York University"
58,M4J,East York,"East Toronto, Broadview North (Old East York)"
59,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
60,M6J,West Toronto,"Little Portugal, Trinity"
64,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
65,M2K,North York,Bayview Village
66,M3K,North York,Downsview
67,M4K,East Toronto,"The Danforth West, Riverdale"
68,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
69,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
73,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
74,M2L,North York,"York Mills, Silver Hills"
75,M3L,North York,Downsview
76,M4L,East Toronto,"India Bazaar, The Beaches West"
77,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
78,M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
81,M9L,North York,Humber Summit
82,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
83,M2M,North York,"Willowdale, Newtonbrook"
84,M3M,North York,Downsview
85,M4M,East Toronto,Studio District
86,M5M,North York,"Bedford Park, Lawrence Manor East"
87,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
90,M9M,North York,"Humberlea, Emery"
91,M1N,Scarborough,"Birch Cliff, Cliffside West"
92,M2N,North York,"Willowdale, Willowdale East"
93,M3N,North York,Downsview
94,M4N,Central Toronto,Lawrence Park
95,M5N,Central Toronto,Roselawn
96,M6N,York,"Runnymede, The Junction North"
99,M9N,York,Weston
100,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
101,M2P,North York,York Mills West
103,M4P,Central Toronto,Davisville North
104,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
105,M6P,West Toronto,"High Park, The Junction South"
108,M9P,Etobicoke,Westmount
109,M1R,Scarborough,"Wexford, Maryvale"
110,M2R,North York,"Willowdale, Willowdale West"
112,M4R,Central Toronto,"North Toronto West,  Lawrence Park"
113,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
114,M6R,West Toronto,"Parkdale, Roncesvalles"
115,M7R,Mississauga,Canada Post Gateway Processing Centre
117,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
118,M1S,Scarborough,Agincourt
121,M4S,Central Toronto,Davisville
122,M5S,Downtown Toronto,"University of Toronto, Harbord"
123,M6S,West Toronto,"Runnymede, Swansea"
127,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
130,M4T,Central Toronto,"Moore Park, Summerhill East"
131,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
136,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
139,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
140,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
143,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
144,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
145,M1W,Scarborough,"Steeles West, L'Amoreaux West"
148,M4W,Downtown Toronto,Rosedale
149,M5W,Downtown Toronto,Stn A PO Boxes
152,M8W,Etobicoke,"Alderwood, Long Branch"
153,M9W,Etobicoke,"Northwest, West Humber - Clairville"
154,M1X,Scarborough,Upper Rouge
157,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
158,M5X,Downtown Toronto,"First Canadian Place, Underground city"
161,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
166,M4Y,Downtown Toronto,Church and Wellesley
169,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
170,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
179,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
